Variables ->,GDPC,TB3M,CPI
Comments ->,Real Gross Domestic Product,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average
1934Q1,NaN,0.526666667,NaN
1934Q2,NaN,0.153333333,NaN
1934Q3,NaN,0.183333333,NaN
1934Q4,NaN,0.25,NaN
1935Q1,NaN,0.18,NaN
1935Q2,NaN,0.15,NaN
1935Q3,NaN,0.17,NaN
1935Q4,NaN,0.17,NaN
1936Q1,NaN,0.2,NaN
1936Q2,NaN,0.2,NaN
1936Q3,NaN,0.17,NaN
1936Q4,NaN,0.12,NaN
1937Q1,NaN,0.233333333,NaN
1937Q2,NaN,0.443333333,NaN
1937Q3,NaN,0.293333333,NaN
1937Q4,NaN,0.133333333,NaN
1938Q1,NaN,0.086666667,NaN
1938Q2,NaN,0.063333333,NaN
1938Q3,NaN,0.07,NaN
1938Q4,NaN,0.04,NaN
1939Q1,NaN,0.03,NaN
1939Q2,NaN,0.03,NaN
1939Q3,NaN,0.076666667,NaN
1939Q4,NaN,0.046666667,NaN
1940Q1,NaN,0.016666667,NaN
1940Q2,NaN,0.06,NaN
1940Q3,NaN,0.046666667,NaN
1940Q4,NaN,0.02,NaN
1941Q1,NaN,0.056666667,NaN
1941Q2,NaN,0.11,NaN
1941Q3,NaN,0.116666667,NaN
1941Q4,NaN,0.233333333,NaN
1942Q1,NaN,0.256666667,NaN
1942Q2,NaN,0.353333333,NaN
1942Q3,NaN,0.38,NaN
1942Q4,NaN,0.38,NaN
1943Q1,NaN,0.38,NaN
1943Q2,NaN,0.38,NaN
1943Q3,NaN,0.38,NaN
1943Q4,NaN,0.38,NaN
1944Q1,NaN,0.38,NaN
1944Q2,NaN,0.38,NaN
1944Q3,NaN,0.38,NaN
1944Q4,NaN,0.38,NaN
1945Q1,NaN,0.38,NaN
1945Q2,NaN,0.38,NaN
1945Q3,NaN,0.38,NaN
1945Q4,NaN,0.38,NaN
1946Q1,NaN,0.38,NaN
1946Q2,NaN,0.38,NaN
1946Q3,NaN,0.38,NaN
1946Q4,NaN,0.38,NaN
1947Q1,2034.45,0.38,NaN
1947Q2,2029.024,0.38,NaN
1947Q3,2024.834,0.736666667,NaN
1947Q4,2056.508,0.906666667,NaN
1948Q1,2087.442,0.99,NaN
1948Q2,2121.899,1,NaN
1948Q3,2134.056,1.05,NaN
1948Q4,2136.44,1.14,NaN
1949Q1,2107.001,1.17,NaN
1949Q2,2099.814,1.17,NaN
