,y,y_tnd,diff_y_tnd,y_gap,log(Y),shk_y_tnd,shk_y_gap,ant_shk_y_gap,Y,,,obs_y,obs_diff_y,log(obs_Y),obs_y_gap,obs_y_gap4,obs_Y,
1999Q1,0.499995833472,0.499995833472,1.5,-0.0,0.004999958335,0.0,0.0,0.0,1.005012478985,,,,,,,,,
1999Q2,0.874995833472,0.874995833472,1.5,0.0,0.008749958335,0.0,0.0,0.0,1.008788351117,,,,,,,,,
1999Q3,1.249995833472,1.249995833472,1.5,0.0,0.012499958335,0.0,0.0,0.0,1.012578409351,,,,,,,,,
1999Q4,1.624995833472,1.624995833472,1.5,0.0,0.016249958335,0.0,0.0,0.0,1.016382706986,,,,,,,,,
2000Q1,1.999995833472,1.999995833472,1.5,0.0,0.019999958335,0.0,0.0,0.0,1.02020129752,,,,,,,,,
2000Q2,2.374995833472,2.374995833472,1.5,0.0,0.023749958335,0.0,0.0,0.0,1.024034234651,,,,,,,,,
2000Q3,2.749995833472,2.749995833472,1.5,0.0,0.027499958335,0.0,0.0,0.0,1.02788157228,,,,,,,,,
2000Q4,3.124995833472,3.124995833472,1.5,0.0,0.031249958335,0.0,0.0,0.0,1.031743364511,,,,,,,,,
2001Q1,3.499995833472,3.499995833472,1.5,0.0,0.034999958335,0.0,0.0,0.0,1.03561966565,,,,,,,,,
2001Q2,3.874995833472,3.874995833472,1.5,0.0,0.038749958335,0.0,0.0,0.0,1.039510530208,,,,,,,,,
2001Q3,4.249995833472,4.249995833472,1.5,0.0,0.042499958335,0.0,0.0,0.0,1.043416012899,,,,,,,,,
2001Q4,4.624995833472,4.624995833472,1.5,0.0,0.046249958335,0.0,0.0,0.0,1.047336168646,,,,,,,,,
2002Q1,4.999995833472,4.999995833472,1.5,0.0,0.049999958335,0.0,0.0,0.0,1.051271052575,,,,,,,,,
2002Q2,5.374995833472,5.374995833472,1.5,0.0,0.053749958335,0.0,0.0,0.0,1.05522072002,,,,,,,,,
2002Q3,5.749995833472,5.749995833472,1.5,0.0,0.057499958335,0.0,0.0,0.0,1.059185226523,,,,,,,,,
2002Q4,6.124995833472,6.124995833472,1.5,0.0,0.061249958335,0.0,0.0,0.0,1.063164627837,,,,,,,,,
2003Q1,6.499995833472,6.499995833472,1.5,0.0,0.064999958335,0.0,0.0,0.0,1.067158979921,,,,,,,,,
2003Q2,6.874995833472,6.874995833472,1.5,0.0,0.068749958335,0.0,0.0,0.0,1.071168338945,,,,,,,,,
2003Q3,7.249995833472,7.249995833472,1.5,0.0,0.072499958335,0.0,0.0,0.0,1.075192761292,,,,,,,,,
2003Q4,7.624995833472,7.624995833472,1.5,0.0,0.076249958335,0.0,0.0,0.0,1.079232303555,,,,,,,,,
2004Q1,7.999995833472,7.999995833472,1.5,0.0,0.079999958335,0.0,0.0,0.0,1.08328702254,,,,,,,,,
2004Q2,8.374995833472,8.374995833472,1.5,0.0,0.083749958335,0.0,0.0,0.0,1.087356975266,,,,,,,,,
2004Q3,8.749995833472,8.749995833472,1.5,0.0,0.087499958335,0.0,0.0,0.0,1.091442218968,,,,,,,,,
2004Q4,9.124995833472,9.124995833472,1.5,0.0,0.091249958335,0.0,0.0,0.0,1.095542811094,,,,,,,,,
2005Q1,9.499995833472,9.499995833472,1.5,0.0,0.094999958335,0.0,0.0,0.0,1.099658809309,,,,,,,,,
2005Q2,9.874995833472,9.874995833472,1.5,0.0,0.098749958335,0.0,0.0,0.0,1.103790271493,,,,,,,,,
2005Q3,10.249995833472,10.249995833472,1.5,0.0,0.102499958335,0.0,0.0,0.0,1.107937255747,,,,,,,,,
2005Q4,10.624995833472,10.624995833472,1.5,0.0,0.106249958335,0.0,0.0,0.0,1.112099820387,,,,,,,,,
2006Q1,10.999995833472,10.999995833472,1.5,0.0,0.109999958335,0.0,0.0,0.0,1.116278023949,,,,,,,,,
2006Q2,11.374995833472,11.374995833472,1.5,0.0,0.113749958335,0.0,0.0,0.0,1.120471925189,,,,,,,,,
2006Q3,11.749995833472,11.749995833472,1.5,0.0,0.117499958335,0.0,0.0,0.0,1.124681583084,,,,,,,,,
2006Q4,12.124995833472,12.124995833472,1.5,0.0,0.121249958335,0.0,0.0,0.0,1.128907056832,,,,,,,,,
2007Q1,12.499995833472,12.499995833472,1.5,0.0,0.124999958335,0.0,0.0,0.0,1.133148405854,,,,,,,,,
2007Q2,12.874995833472,12.874995833472,1.5,0.0,0.128749958335,0.0,0.0,0.0,1.137405689794,,,,,,,,,
2007Q3,13.249995833472,13.249995833472,1.5,0.0,0.132499958335,0.0,0.0,0.0,1.141678968521,,,,,,,,,
2007Q4,13.624995833472,13.624995833472,1.5,0.0,0.136249958335,0.0,0.0,0.0,1.145968302127,,,,,,,,,
2008Q1,13.999995833472,13.999995833472,1.5,0.0,0.139999958335,0.0,0.0,0.0,1.150273750931,,,,,,,,,
2008Q2,14.374995833472,14.374995833472,1.5,0.0,0.143749958335,0.0,0.0,0.0,1.154595375478,,,,,,,,,
